course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,profit,year,month,clean_course_title
Ultimate Investment Banking Course,1,200,2147,23,51,0,1.5,429400,2017,1,Ultimate Investment Banking Course
Complete GST Course & Certification - Grow Your CA Practice,1,75,2792,923,274,0,39.0,209400,2017,3,Complete GST Course  Certification  Grow Practice
Financial Modeling for Business Analysts and Consultants,1,45,2174,74,51,2,2.5,97830,2016,12,Financial Modeling Business Analysts Consultants
Beginner to Pro - Financial Analysis in Excel 2017,1,95,2451,11,36,0,3.0,232845,2017,5,Beginner Pro  Financial Analysis Excel 2017
How To Maximize Your Profits Trading Options,1,200,1276,45,26,2,2.0,255200,2016,12,Maximize Profits Trading Options
Trading Penny Stocks: A Guide for All Levels In 2017,1,150,9221,138,25,0,3.0,1383150,2014,5,Trading Penny Stocks Guide Levels 2017
Investing And Trading For Beginners: Mastering Price Charts,1,65,1540,178,26,1,1.0,100100,2016,2,Investing Trading Beginners Mastering Price Charts
"Trading Stock Chart Patterns For Immediate, Explosive Gains",1,95,2917,148,23,0,2.5,277115,2015,1,Trading Stock Chart Patterns Immediate Explosive Gains
Options Trading 3 : Advanced Stock Profit and Success Method,1,195,5172,34,38,3,2.5,1008540,2015,5,Options Trading 3  Advanced Stock Profit Success Method
The Only Investment Strategy You Need For Your Retirement,1,200,827,14,15,0,1.0,165400,2017,4,Investment Strategy Need Retirement
Forex Trading Secrets of the Pros With Amazon's AWS,1,200,4284,93,76,0,5.0,856800,2015,9,Forex Trading Secrets Pros Amazons AWS
Trading Options With Money Flow,1,200,1380,42,17,0,1.0,276000,2016,10,Trading Options Money Flow
Financial Management Risk and Return For Securities,1,30,3607,21,19,0,1.5,108210,2016,2,Financial Management Risk Return Securities
Forex Trading Course: Work Smarter Not Harder Proven Results,1,195,4061,52,16,0,2.0,791895,2016,3,Forex Trading Course Work Smarter Harder Proven Results
Python Algo Trading: Sentiment Trading with News,1,200,294,19,42,0,7.0,58800,2017,4,Python Algo Trading Sentiment Trading News
Short Selling: Learn To Sell Stocks Before The Fall,1,75,2276,106,19,2,1.5,170700,2015,6,Short Selling Learn Sell Stocks Fall
Basic Technical Analysis: Learn the structure of the market,1,20,4919,79,16,1,1.5,98380,2016,1,Basic Technical Analysis Learn structure market
The Complete Chart Pattern Trading Course: A Proven Approach,1,200,2666,115,52,0,4.0,533200,2015,8,Complete Chart Pattern Trading Course Proven Approach
7 Deadly Mistakes of Investing that Will Slash Your Profits!,1,50,5354,24,23,0,1.5,267700,2015,9,7 Deadly Mistakes Investing Slash Profits
Financial Statements Made Easy,1,95,8095,249,12,1,0.5833333333333334,769025,2013,6,Financial Statements Easy
Winning Forex Trading with Live Forex Trading Examples,1,200,809,3,25,0,2.0,161800,2017,6,Winning Forex Trading Live Forex Trading Examples
Forex Traders - Create Your First Trading Robot. No Coding!,1,200,2295,84,39,0,4.0,459000,2016,5,Forex Traders  Create Trading Robot Coding
Create A Business From Home Trading Stocks Today In 2017,1,75,10149,83,16,0,2.0,761175,2015,5,Create Business Home Trading Stocks Today 2017
Introduction to Accounting : Mastering Financial Statements,1,50,1916,38,23,1,1.0,95800,2016,12,Introduction Accounting  Mastering Financial Statements
The Complete Ethereum Course: Get .01 Ether In Your Wallet,1,45,2507,333,40,0,2.0,112815,2016,5,Complete Ethereum Course 01 Ether Wallet
Beginner to Pro in PowerPoint: Complete PowerPoint Training,1,150,5786,518,50,0,5.0,867900,2015,1,Beginner Pro PowerPoint Complete PowerPoint Training
Investing 101: The Complete Online Investing Course,1,200,5334,373,42,0,4.5,1066800,2014,11,Investing 101 Complete Online Investing Course
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,1,175,4005,237,25,2,2.0,700875,2015,4,Create Hedge Fund Trade Stocks Like Fund Manager
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),1,150,2877,103,81,0,4.5,431550,2016,4,Learn MQL5 Build 8Currency Hedging Robot MetaTrader 5
Forex Trading: Your Complete Guide to Get Started Like a Pro,1,140,1026,25,37,1,3.0,143640,2017,6,Forex Trading Complete Guide Started Like Pro
Python Algo Stock Trading: Automate Your Trading!,1,95,1165,21,41,1,2.5,110675,2017,5,Python Algo Stock Trading Automate Trading
THE Forex Robot: Incredible ROI (Robot Included),1,200,1843,171,35,0,1.5,368600,2016,10,Forex Robot Incredible ROI Robot Included
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,1,45,8797,449,80,0,6.5,395865,2015,1,Complete Bitcoin Course 001 Bitcoin Wallet
Mastering High Probability Iron Condor Options Trading,1,200,1030,11,22,0,2.0,206000,2017,6,Mastering High Probability Iron Condor Options Trading
The Complete Short Course on Ethereum,1,200,1041,12,28,0,1.5,208200,2017,6,Complete Short Course Ethereum
Options Trading Stocks: Proven Toolbox For Financial Success,1,195,7884,118,68,2,10.0,1537380,2015,5,Options Trading Stocks Proven Toolbox Financial Success
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,1,195,16900,2476,52,1,5.5,3295500,2014,12,Forex Trading AZ  LIVE Examples Forex Trading
