5NgNicANyqM,UC8butISFwT-Wl7EV0hUK0BQ,Harvard CS50’s Artificial Intelligence with Python – Full University Course,27,N/A,freeCodeCamp.org,8820000,1357207,41136,0,633,https://www.youtube.com/watch?v=5NgNicANyqM,en,PT11H51M22S,42682,ai courses
JMUxmLyrhSk,UCkw4JCwteGrDHIsyIIKo4tQ,Artificial Intelligence Full Course | Artificial Intelligence Tutorial for Beginners | Edureka,27,"yt:cc=on, Artificial Intelligence Full Course, artificial intelligence, Artificial Intelligence Tutorial for Beginners, Artificial Intelligence Tutorial, Artificial Intelligence course, artificial intelligence crash course, artificial intelligence course for beginners, artificial intelligence training, edureka, what is artificial intelligence, artificial intelligence edureka, artificial intelligence for beginners, ai tutorial, Ai tutorial for beginners",edureka!,3900000,3330531,67797,0,883,https://www.youtube.com/watch?v=JMUxmLyrhSk,en,PT4H52M51S,17571,ai courses
Lw1U3tNto9E,UC68KSmHePPePCjW4v57VPQg,Google just launched a free course on AI. You'll like it,28,"google ai course, learn ai, learn generative ai",Python Programmer,405000,244645,6421,0,142,https://www.youtube.com/watch?v=Lw1U3tNto9E,en-GB,PT3M8S,188,ai courses
Yq0QkCxoTHM,UCwAnu01qlnVg1Ai2AbtTMaA,Google’s AI Course for Beginners (in 10 minutes)!,27,"Google’s AI Course for Beginners (in 10 minutes), artificial intelligence course for beginners, what is artificial intelligence, what is machine learning, what is deep learning, what is generative ai, how does chatgpt work, how does google bard work, what is a large language model, how can I learn about artificial intelligence",Jeff Su,652000,267451,4531,0,200,https://www.youtube.com/watch?v=Yq0QkCxoTHM,en-US,PT9M18S,558,ai courses
G2fqAlgmoPo,UCJS9pqu9BzkAMNTmzNMNhvg,Introduction to Generative AI,28,"genai, generativeAI, GoogleCloudLearning",Google Cloud Tech,1080000,1218371,17346,0,289,https://www.youtube.com/watch?v=G2fqAlgmoPo,en-US,PT22M8S,1328,ai courses
mkRVHLQmsp4,UCkcqmxjMXaBb0kDWqqSEU1g,How to learn AI and get RICH in the AI revolution,28,N/A,Power Couple,514000,226380,10052,0,308,https://www.youtube.com/watch?v=mkRVHLQmsp4,en,PT7M11S,431,ai courses
uUGcqAjNOYk,UCsvqVGtbbyHaMoevxPAq9Fg,🔥AI Roadmap for 2023 | Roadmap to Become Artificial Intelligence Engineer | Simplilearn,27,"simplilearn, ai roadmap for 2023, roadmap to become artificial intelligence engineer, roadmap to become artificial intelligence, ai roadmap, roadmap for ai engineer, ai ml roadmap 2023, roadmap for ai ml engineer, roadmap for ai developer, roadmap for ai, artificial intelligence roadmap, ai roadmap for beginners, artificial intelligence roadmap for beginners, how to become an ai expert, simplilearn artificial intelligence, become an ai engineer, become an ai expert",Simplilearn,3540000,90953,1270,0,12,https://www.youtube.com/watch?v=uUGcqAjNOYk,en,PT6M13S,373,ai courses
09JeSRCsEcY,UCUFMgUDsqQnWFDBxUbBHR3g,Create your online course for FREE with #artificialintelligence 🤯 #ai,28,N/A,Simply Digital,38600,7147,731,0,8,https://www.youtube.com/watch?v=09JeSRCsEcY,Unknown,PT43S,43,ai courses
RtGVfZ-s7Lo,UCQCww9Pe50PyGqeBItcL0eQ,First Lecture | Overview AI | What is AI | AI course | AI History | lecture | Ahmed Learning Point,27,"school, educaton, computer, learn, learning, point, ahmed, ai, ai news, ai tool, ai tools, character ai, ai robots, ai scan, ai tech, ai scans, ai putin, a i, ai advice, ai coding, ai doubles, ai systems, ai website, ai in movies, snapchat ai, ai research, ai for actors, ai advantage, free ai tools, best ai tools, ai tools 2023, ai tools 2024, ai tool excel, ai job hunting, caa ai scanner, general use ai, ai objectives, ai tool finder, free ai course, ai in hollywood",Ahmed Learning Point,5,86,3,0,0,https://www.youtube.com/watch?v=RtGVfZ-s7Lo,en,PT8M43S,523,ai courses
KEB-w9DUdCw,UC68KSmHePPePCjW4v57VPQg,How to learn AI and ML in 2024 - A complete roadmap,28,N/A,Python Programmer,405000,121120,5888,0,74,https://www.youtube.com/watch?v=KEB-w9DUdCw,en-GB,PT2M44S,164,ai courses
VOaoabf3LPM,UCkw4JCwteGrDHIsyIIKo4tQ,Artificial Intelligence Full Course in 10 Hours  [2024] | Artificial Intelligence Tutorial | Edureka,27,"yt:cc=on, Artificial Intelligence Full Course, artificial intelligence, Artificial Intelligence Tutorial for Beginners, Artificial Intelligence Tutorial, Artificial Intelligence course, artificial intelligence crash course, artificial intelligence course for beginners, artificial intelligence training, what is artificial intelligence, artificial intelligence for beginners, ai tutorial, Ai tutorial for beginners, artificial intelligence edureka, edureka",edureka!,3900000,207213,4143,0,48,https://www.youtube.com/watch?v=VOaoabf3LPM,en,PT9H53M21S,35601,ai courses
lTzHlU3OrXs,UCsvqVGtbbyHaMoevxPAq9Fg,🔥 Artificial Intelligence Full Course 2022 | AI Full Course | AI And ML Full Course | Simplilearn,27,"simplilearn, artificial intelligence, artificial intelligence course, machine learning, machine learning course, ai and machine learning, ai and machine learning full course, ai and machine learning tutorial, ai and machine learning for beginners, artificial intelligence and machine learning, artificial intelligence and machine learning course, machine learning algorithms, artificial intelligence tutorial, ai and ml",Simplilearn,3540000,296084,6836,0,26,https://www.youtube.com/watch?v=lTzHlU3OrXs,en,PT10H44M10S,38650,ai courses
xabR5c0LsYQ,UCdk2zf1zoCYtw25CzqB4Vvw,Artificial Intelligence Crash Course 2023: A Comprehensive Guide to AI,27,"#AI, #ArtificialIntelligence, #ChatGPT, #GPT4, #ElonMusk, #MachineLearning, #DeepLearning, #NeuralNetworks, #DataScience, #BigData, #MidJourney, #TextToSpeech, #SelfDrivingCar, #Computer Science, #Science, #FullCourse, #AICourse, #ArtificialIntelligenceCourse, #AIFullCourse, #AIJobs, #AICareer, #FutureOfJobs, #JobsInAI",CogniPlus - For Curious Minds,4480,490799,0,0,111,https://www.youtube.com/watch?v=xabR5c0LsYQ,en,PT1H11M10S,4270,ai courses
ktjJMDVtWKU,UCsvqVGtbbyHaMoevxPAq9Fg,🔥FREE Artificial Intelligence Course Online With Certificate | 🔥Free AI Course | Simplilearn,27,"free artificial intelligence course online with certificate, free ai course, artificial intelligence free certification course, free ai course with certificate, artificial intelligence free course, artificial intelligence from scratch, artificial intelligence free online course for beginners, artificial intelligence course, artificial intelligence tutorial, ai and ml course, learn ai, artificial intelligence, simplilearn artificial intelligence, simplilearn",Simplilearn,3540000,29244,635,0,33,https://www.youtube.com/watch?v=ktjJMDVtWKU,en,PT3M36S,216,ai courses
BaFz5q9Ffkg,UCsvqVGtbbyHaMoevxPAq9Fg,🔥 Artificial Intelligence Full Course 2023 | AI Tutorial for Beginners | Simplilearn,27,"simplilearn, artificial intelligence full course, artificial intelligence tutorial for beginners, ai for beginners, artifical intelligence, ai projects, artificial intelligence course, ai course, artificial intelligence course for beginners, artificial intelligence tutorial, artificial intelligence full tutorial, artificial intelligence full course with projects, ai training, artificial intelligence training, ml, ai, ai tutorial, what is ai, introduction to ai, ai applications",Simplilearn,3540000,51773,1125,0,15,https://www.youtube.com/watch?v=BaFz5q9Ffkg,en,PT8H36M8S,30968,ai courses
oCn3Kc08St8,UCsvqVGtbbyHaMoevxPAq9Fg,🔥 Top 5 AI Certifications 2023 | 5 Best AI Certification Courses For 2023 | Simplilearn,27,"best ai certification courses for 2023, top ai certifcations, artificial intelligence certifications, ai certification course online, ai certification course, ai certification course for beginners, artificial intelligence, ai, ai certification for beginners, ai certification program, how to get certified in artificial intelligence, artificial intelligence course, ai course, ai engineer certificate, certification in artificial intelligence, best courses online, simplilearn",Simplilearn,3540000,49023,323,0,8,https://www.youtube.com/watch?v=oCn3Kc08St8,en,PT12M4S,724,ai courses
S5KUpTgoSco,UCFmHrI6SoMlqcqsVVJ4VCVQ,Top AI courses that you can take for free,27,N/A,Scholar Strategy by Nistha Tripathi,38600,251523,10497,0,102,https://www.youtube.com/watch?v=S5KUpTgoSco,en-IN,PT8S,8,ai courses
LAuDCmiYDPk,UCsQ6_w5iUOUOMAUPclg2kcg,11 FREE AI Courses To Become an AI Developer in 2023 🔥| Earn 15 LPA | Best Courses,27,"ai course, ai courses, free ai courses, become ai developer, artificial intelligence, python programming, courses, c++, skills, career, ai, best courses in 2023, top ai courses, chat gpt, java script, c programming, professional courses, datascience, machine learning, machine learning course, coding for beginners, ai course for begineers, skill, IT skills, career in ai, 11 free ai courses, skillsiya",Skillsiya,688000,184562,9401,0,142,https://www.youtube.com/watch?v=LAuDCmiYDPk,en,PT8M23S,503,ai courses
w63mmdHojAA,UCKc0J2A7znmiFwIjXUvmdvw,AI Free Advance Course | Lecture 01 | Road Map of Artificial Intelligence,28,"free course with certificate, free courses, free course with certificate online, best free course with certificate, what is artificial intelligence, artificial intelligence, machine learning, what is ai, ai, ai uncovered, deep learning, deep learning tutorial, what is deep learning, data science, free online courses, irfan malik, irfan malik success story, irfan malik xeven solution, free course, free courses online, data analytics, technology, ai video, chatgpt, robots",Irfan Malik,238000,22298,1378,0,93,https://www.youtube.com/watch?v=w63mmdHojAA,en-US,PT1H39M34S,5974,ai courses
qvHeoh-SWK4,UCngq92xrmmsfEgGdfAJ6giQ,Learn Robotics and AI for Free | University Courses Online Right Here,22,"ai, artificial intelligence, robot, robots, robotics, boston dynamics, tesla, tesla bot, tesla robot",The Money GPS,288000,24366,1782,0,49,https://www.youtube.com/watch?v=qvHeoh-SWK4,en,PT27S,27,ai courses
ji93Lo6wYnk,UCY6N8zZhs2V7gNTUxPuKWoQ,7 FREE AI Courses To Become an AI Developer in 2023 🔥| Ishan Sharma,24,"ishan sharma, BEST AI COURSES To Become an AI Developer in 2023, artificial intelligence, Artificial Intelligence Tutorial for Beginners, artificial intelligence course for beginners, what is artificial intelligence, artificial intelligence for beginners, ai developer, ai course, coding, programming, machine learning, data science, developer, development, coding courses, learn to code, ai for beginners, chatgpt, google bard, best, free google course, free courses, ai engineer, aiml",Ishan Sharma,1120000,325241,14671,0,244,https://www.youtube.com/watch?v=ji93Lo6wYnk,en-IN,PT12M5S,725,ai courses
BqeDuqC_D_8,UCn1USB9-5UqKJTSHd1JGcVw,Step-by-Step guide to become AI Engineer,27,"ai skills, artificial intelligence, how to become artificial intelligence engineer, how to become an ai engineer, ai engineer salary, ai engineer skills, artificial intelligence engineer skills, artificial intelligence engineer roles, artificial intelligence career path, how to be ai developer, how to be ai programmer, AI, Machine Learning, ML, how to become a data scientist in india, data science roadmap, step by step data science, data scientist learning path",BEPEC by Kanth - #BuildExperience & Get Hired!,59800,341757,16538,0,175,https://www.youtube.com/watch?v=BqeDuqC_D_8,en-IN,PT26S,26,ai courses
Xf2yB9ly16w,UCAByacqoM6rWeIBHnGt1EvA,Conheça o poderoso Course Ai #chatgpt #dicas #inteligenciaartificial #tecnologia #ia,22,N/A,Jornada Top,929000,75183,8528,0,68,https://www.youtube.com/watch?v=Xf2yB9ly16w,pt-BR,PT1M,60,ai courses
kPlLv6pC3JE,UCZknyXD-6tETm9aN8GQCi8g,AI Masterclass on ChatGPT & Midjourney (2023),24,"ansh mehra, anshmehra, uxui design, ux design, ui design, ux design free course, ui design free course",Ansh Mehra,298000,603253,23479,0,655,https://www.youtube.com/watch?v=kPlLv6pC3JE,en-GB,PT59M59S,3599,ai courses
LLxRd-zWWGo,UCFmHrI6SoMlqcqsVVJ4VCVQ,Free AI courses by Microsoft!! 🤩,27,N/A,Scholar Strategy by Nistha Tripathi,38600,26282,998,0,15,https://www.youtube.com/watch?v=LLxRd-zWWGo,en-IN,PT9S,9,ai courses
0GjK1rvuI1Q,UCRdfhTdKpGtJg-QIuAIND8g,Make $660/Day with Free Google Generative AI Certificates,27,"google certificate, google training, google ai, superhumans life, google generative ai, generative ai courses, google ai certificate, machine learning with google, artificial intelligence course for beginners, ai courses, learn ai, free courses online with certificates, generative ai course google",SuperHumans Life,289000,91526,3271,0,124,https://www.youtube.com/watch?v=0GjK1rvuI1Q,en,PT7M31S,451,ai courses
h2FDq3agImI,UCn8ujwUInbJkBhffxqAPBVQ,How I'd Learn AI in 2024 (if I could start over),28,"data science, python, machine learning, vscode, data analytics, data science tips, data science 2023, artificial intelligence, ai, tutorial, how to, artificial intelligence course, artificial intelligence tutorial, artificial intelligence explained, openai, ai automation agency, botpress, stackai, chatbot, ai tutorial, learn ai, how to learn ai, How learn machine learning, ai course, ai roadmap, data science course, ai for beginners tutorial, python tutorial, ai tutorial video, 2023",Dave Ebbelaar,50200,291841,10750,0,230,https://www.youtube.com/watch?v=h2FDq3agImI,en,PT17M55S,1075,ai courses
j7K5FBCJFDg,UCKc0J2A7znmiFwIjXUvmdvw,How to Learn AI | Effect of AI on Freelancers,28,"ai, artificial intelligence, what is artificial intelligence, generative ai, ai robots, irfan malik, irfan malik success story, irfan malik digiskills, irfan malik xeven solution, irfan malik interview, python, LearningCourse, ArtificialIntelligence, Technologies, howtoearnonline, programminglanguage, AI, python tutorial, learn python, python course, openai, chat gpt, chatgpt, machine learning, artificial intelligence tutorial, free courses, free course, free courses online",Irfan Malik,238000,252939,7502,0,263,https://www.youtube.com/watch?v=j7K5FBCJFDg,Unknown,PT6M54S,414,ai courses
uleFe6dpUvc,UCBwmMxybNva6P_5VmxjzwqA,5 AI tools for all Coders🙌🏻,27,N/A,Apna College,4660000,703165,92870,0,164,https://www.youtube.com/watch?v=uleFe6dpUvc,Unknown,PT1M,60,ai courses
ObMnw8woAog,UCPkctgt1mTeJWTGj4tq4dPQ,Best 12 AI Tools in 2023,27,N/A,LKLogic,1810000,591910,40392,0,168,https://www.youtube.com/watch?v=ObMnw8woAog,Unknown,PT36S,36,ai courses
