,course_title,Channel Title,Subscriber Count,Views,Likes,Comment Count,Language,Duration (Seconds),Theme,clean_course_title
0,Harvard CS50’s Artificial Intelligence with Python – Full University Course,freeCodeCamp.org,8820000,1357207,41136,633,en,42682,ai courses,Harvard CS50s Artificial Intelligence Python  University Course
1,Artificial Intelligence Full Course | Artificial Intelligence Tutorial for Beginners | Edureka,edureka!,3900000,3330531,67797,883,en,17571,ai courses,Artificial Intelligence Course  Artificial Intelligence Tutorial Beginners  Edureka
2,Google just launched a free course on AI. You'll like it,Python Programmer,405000,244645,6421,142,en,188,ai courses,Google launched free course AI like
3,Google’s AI Course for Beginners (in 10 minutes)!,Jeff Su,652000,267451,4531,200,en,558,ai courses,Googles AI Course Beginners in 10 minutes
4,Introduction to Generative AI,Google Cloud Tech,1080000,1218371,17346,289,en,1328,ai courses,Introduction Generative AI
5,How to learn AI and get RICH in the AI revolution,Power Couple,514000,226380,10052,308,en,431,ai courses,learn AI RICH AI revolution
6,🔥AI Roadmap for 2023 | Roadmap to Become Artificial Intelligence Engineer | Simplilearn,Simplilearn,3540000,90953,1270,12,en,373,ai courses,AI Roadmap 2023  Roadmap Artificial Intelligence Engineer  Simplilearn
7,Create your online course for FREE with #artificialintelligence 🤯 #ai,Simply Digital,38600,7147,731,8,Unknown,43,ai courses,Create online course FREE artificialintelligence  ai
8,First Lecture | Overview AI | What is AI | AI course | AI History | lecture | Ahmed Learning Point,Ahmed Learning Point,5,86,3,0,en,523,ai courses,Lecture  Overview AI  AI  AI course  AI History  lecture  Ahmed Learning Point
9,How to learn AI and ML in 2024 - A complete roadmap,Python Programmer,405000,121120,5888,74,en,164,ai courses,learn AI ML 2024  complete roadmap
10,Artificial Intelligence Full Course in 10 Hours  [2024] | Artificial Intelligence Tutorial | Edureka,edureka!,3900000,207213,4143,48,en,35601,ai courses,Artificial Intelligence Course 10 Hours 2024  Artificial Intelligence Tutorial  Edureka
11,🔥 Artificial Intelligence Full Course 2022 | AI Full Course | AI And ML Full Course | Simplilearn,Simplilearn,3540000,296084,6836,26,en,38650,ai courses, Artificial Intelligence Course 2022  AI Course  AI ML Course  Simplilearn
12,Artificial Intelligence Crash Course 2023: A Comprehensive Guide to AI,CogniPlus - For Curious Minds,4480,490799,0,111,en,4270,ai courses,Artificial Intelligence Crash Course 2023 Comprehensive Guide AI
13,🔥FREE Artificial Intelligence Course Online With Certificate | 🔥Free AI Course | Simplilearn,Simplilearn,3540000,29244,635,33,en,216,ai courses,FREE Artificial Intelligence Course Online Certificate  Free AI Course  Simplilearn
14,🔥 Artificial Intelligence Full Course 2023 | AI Tutorial for Beginners | Simplilearn,Simplilearn,3540000,51773,1125,15,en,30968,ai courses, Artificial Intelligence Course 2023  AI Tutorial Beginners  Simplilearn
15,🔥 Top 5 AI Certifications 2023 | 5 Best AI Certification Courses For 2023 | Simplilearn,Simplilearn,3540000,49023,323,8,en,724,ai courses, 5 AI Certifications 2023  5 Best AI Certification Courses 2023  Simplilearn
16,Top AI courses that you can take for free,Scholar Strategy by Nistha Tripathi,38600,251523,10497,102,en,8,ai courses,AI courses free
17,11 FREE AI Courses To Become an AI Developer in 2023 🔥| Earn 15 LPA | Best Courses,Skillsiya,688000,184562,9401,142,en,503,ai courses,11 FREE AI Courses AI Developer 2023  Earn 15 LPA  Best Courses
18,AI Free Advance Course | Lecture 01 | Road Map of Artificial Intelligence,Irfan Malik,238000,22298,1378,93,en,5974,ai courses,AI Free Advance Course  Lecture 01  Road Map Artificial Intelligence
19,Learn Robotics and AI for Free | University Courses Online Right Here,The Money GPS,288000,24366,1782,49,en,27,ai courses,Learn Robotics AI Free  University Courses Online Right
20,7 FREE AI Courses To Become an AI Developer in 2023 🔥| Ishan Sharma,Ishan Sharma,1120000,325241,14671,244,en,725,ai courses,7 FREE AI Courses AI Developer 2023  Ishan Sharma
21,Step-by-Step guide to become AI Engineer,BEPEC by Kanth - #BuildExperience & Get Hired!,59800,341757,16538,175,en,26,ai courses,StepbyStep guide AI Engineer
23,AI Masterclass on ChatGPT & Midjourney (2023),Ansh Mehra,298000,603253,23479,655,en,3599,ai courses,AI Masterclass ChatGPT  Midjourney 2023
24,Free AI courses by Microsoft!! 🤩,Scholar Strategy by Nistha Tripathi,38600,26282,998,15,en,9,ai courses,Free AI courses Microsoft 
25,Make $660/Day with Free Google Generative AI Certificates,SuperHumans Life,289000,91526,3271,124,en,451,ai courses,660Day Free Google Generative AI Certificates
26,How I'd Learn AI in 2024 (if I could start over),Dave Ebbelaar,50200,291841,10750,230,en,1075,ai courses,Id Learn AI 2024 if start over
27,How to Learn AI | Effect of AI on Freelancers,Irfan Malik,238000,252939,7502,263,Unknown,414,ai courses,Learn AI  Effect AI Freelancers
28,5 AI tools for all Coders🙌🏻,Apna College,4660000,703165,92870,164,Unknown,60,ai courses,5 AI tools Coders
29,Best 12 AI Tools in 2023,LKLogic,1810000,591910,40392,168,Unknown,36,ai courses,Best 12 AI Tools 2023
30,What Is AI? | Artificial Intelligence | What is Artificial Intelligence? | AI In 5 Mins |Simplilearn,Simplilearn,3540000,1782015,23324,2744,en,328,ai courses,AI  Artificial Intelligence  Artificial Intelligence  AI 5 Mins Simplilearn
31,Ai to Create an Online Course in JUST 2 Days 😳,Logan,62300,23791,1189,15,Unknown,33,ai courses,Ai Create Online Course 2 Days 
32,Lecture 1 | AI Free Basic Course,Irfan Malik,238000,323097,9636,961,Unknown,5575,ai courses,Lecture 1  AI Free Basic Course
33,AI Free Advance Course | Lecture 02 | Machine Learning Essentials,Irfan Malik,238000,17652,952,76,en,5563,ai courses,AI Free Advance Course  Lecture 02  Machine Learning Essentials
34,7 FREE AI Courses To Make You An AI Developer in 2024,AI Andy,99300,2233,136,7,Unknown,793,ai courses,7 FREE AI Courses AI Developer 2024
35,learning AI and ChatGPT isn’t that hard,NetworkChuck,3600000,601512,23048,631,en,1006,ai courses,learning AI ChatGPT isnt hard
36,What Is Artificial Intelligence? Crash Course AI #1,CrashCourse,15200000,658976,17728,585,en,706,ai courses,Artificial Intelligence Crash Course AI 1
37,How much does an AI ENGINEER make?,Broke Brothers,218000,3705330,138023,1594,Unknown,36,ai courses,AI ENGINEER make
38,AI And Machine Learning Full Course | Artificial Intelligence & Machine Learning Course |Simplilearn,Simplilearn,3540000,238824,5754,89,en,35310,ai courses,AI Machine Learning Course  Artificial Intelligence  Machine Learning Course Simplilearn
39,Top 5 AI Courses for Beginners | Online AI Courses for Beginners | Artificial Intelligence Courses,Groww plus,146000,12079,370,13,hi,376,ai courses,5 AI Courses Beginners  Online AI Courses Beginners  Artificial Intelligence Courses
40,Basics Of Artificial Intelligence | AI Basics For Beginners | AI Training For Beginners |Simplilearn,Simplilearn,3540000,13498,283,6,en,19363,ai courses,Basics Artificial Intelligence  AI Basics Beginners  AI Training Beginners Simplilearn
42,BEST ARTIFICIAL INTELLIGENCE COURSES,Martin Zeman,8940,8928,259,17,en,690,ai courses,BEST ARTIFICIAL INTELLIGENCE COURSES
43,AI Free Basic Course | Registrations Opened,Irfan Malik,238000,16341,1425,52,Unknown,46,ai courses,AI Free Basic Course  Registrations Opened
44,AI VS ML VS DL VS Data Science,Krish Naik,855000,2721602,65494,1709,en,585,ai courses,AI VS ML VS DL VS Data Science
46,🔥Artificial Intelligence Tutorial | AI Tutorial for Beginners | 2023 | AI | Simplilearn,Simplilearn,3540000,31640,422,11,en,1866,ai courses,Artificial Intelligence Tutorial  AI Tutorial Beginners  2023  AI  Simplilearn
47,Ashneer views on Ai & jobs (shocking😱),Knowledgeify,7420,446122,19074,524,en,34,ai courses,Ashneer views Ai  jobs shocking
48,How I would learn Machine Learning (if I could start over),AssemblyAI,108000,650277,28517,449,Unknown,463,ai courses,learn Machine Learning if start over
49,AI Free Advance Course | Lecure 04 | A Deep Dive into Generative AI,Irfan Malik,238000,12213,629,41,en,4191,ai courses,AI Free Advance Course  Lecure 04  Deep Dive Generative AI
50,Learn web development as an absolute beginner,Coder Coder,476000,2768013,149907,3631,en,777,web development tutorial,Learn web development absolute beginner
51,"Full Stack Web Development for Beginners (Full Course on HTML, CSS, JavaScript, Node.js, MongoDB)",freeCodeCamp.org,8820000,1370287,37576,871,en,26952,web development tutorial,Stack Web Development Beginners Full Course HTML CSS JavaScript Nodejs MongoDB
52,HTML & CSS Full Course - Beginner to Pro,SuperSimpleDev,349000,7816556,164335,9208,en,23484,web development tutorial,HTML  CSS Course  Beginner Pro
53,100+ Web Development Things you Should Know,Fireship,2670000,1259539,61032,1623,en,798,web development tutorial,100 Web Development Things Know
54,"Web Development Tutorial for Beginners (#1) - How to build webpages with HTML, CSS, Javascript",LearnCode.academy,767000,4820866,57893,3292,en,848,web development tutorial,Web Development Tutorial Beginners 1  build webpages HTML CSS Javascript
55,HTML Tutorial for Beginners: HTML Crash Course,Programming with Mosh,3680000,7686015,179782,4870,en,4174,web development tutorial,HTML Tutorial Beginners HTML Crash Course
56,"Frontend Web Development Bootcamp Course (JavaScript, HTML, CSS)",freeCodeCamp.org,8820000,2348179,74428,1548,en,76482,web development tutorial,Frontend Web Development Bootcamp Course JavaScript HTML CSS
57,How to Make a Website in 10 mins - Simple & Easy,Website Learners,1670000,17862316,377733,16299,en,742,web development tutorial,Website 10 mins  Simple  Easy
